,CAGR,AnnVol,Sharpe,MaxDD,HitRate,Months
Equal-Weight Tech (benchmark),0.268101761957948,0.21403944772654349,1.2252263775938677,-0.370627486094943,0.6581632653061225,196.0
Momentum (12-1) - Long top 1/3,0.29499450557849394,0.24639917830365649,1.1781622996554029,-0.34544659571759806,0.6120218579234973,183.0
Momentum (12-1) - Long/Short,0.04442276423557501,0.17769407082231856,0.3294573716221011,-0.3234714403270097,0.5355191256830601,183.0
Low Volatility - Long top 1/3,0.19374125191028058,0.17175099749725947,1.1235393675844103,-0.31837366409150447,0.6613756613756614,189.0
Low Volatility - Long/Short,-0.1828783352060943,0.19302119444832305,-0.9379048156830738,-0.9627829423772152,0.41798941798941797,189.0
Short-Term Reversal - Long top 1/3,0.25770907143424204,0.24613263843638614,1.058949511814673,-0.3472044285465107,0.6205128205128205,195.0
Short-Term Reversal - Long/Short,-0.021992642421724717,0.1568015946710998,-0.06363268972623877,-0.5714853334509802,0.49230769230769234,195.0
